"","Ti","Zr","Hf","Nb","Ni","Cu","Fe","Pd","Co","Mn","Cr"
"1",40,11,0,0,45,4,0,0,0,0,0
"2",39,12,0,0,45,4,0,0,0,0,0
"3",38,13,0,0,45,4,0,0,0,0,0
"4",37,14,0,0,45,4,0,0,0,0,0
"5",36,15,0,0,45,4,0,0,0,0,0
"6",35,16,0,0,45,4,0,0,0,0,0
"7",34,17,0,0,45,4,0,0,0,0,0
"8",33,18,0,0,45,4,0,0,0,0,0
"9",32,19,0,0,45,4,0,0,0,0,0
"10",31,20,0,0,45,4,0,0,0,0,0
"11",40,10,1,0,45,4,0,0,0,0,0
"12",39,11,1,0,45,4,0,0,0,0,0
"13",38,12,1,0,45,4,0,0,0,0,0
"14",37,13,1,0,45,4,0,0,0,0,0
"15",36,14,1,0,45,4,0,0,0,0,0
"16",35,15,1,0,45,4,0,0,0,0,0
"17",34,16,1,0,45,4,0,0,0,0,0
"18",33,17,1,0,45,4,0,0,0,0,0
"19",32,18,1,0,45,4,0,0,0,0,0
"20",31,19,1,0,45,4,0,0,0,0,0
"21",40,9,2,0,45,4,0,0,0,0,0
"22",39,10,2,0,45,4,0,0,0,0,0
"23",38,11,2,0,45,4,0,0,0,0,0
"24",37,12,2,0,45,4,0,0,0,0,0
"25",36,13,2,0,45,4,0,0,0,0,0
"26",35,14,2,0,45,4,0,0,0,0,0
"27",34,15,2,0,45,4,0,0,0,0,0
"28",33,16,2,0,45,4,0,0,0,0,0
"29",32,17,2,0,45,4,0,0,0,0,0
"30",31,18,2,0,45,4,0,0,0,0,0
"31",40,8,3,0,45,4,0,0,0,0,0
"32",39,9,3,0,45,4,0,0,0,0,0
"33",38,10,3,0,45,4,0,0,0,0,0
"34",37,11,3,0,45,4,0,0,0,0,0
"35",36,12,3,0,45,4,0,0,0,0,0
"36",35,13,3,0,45,4,0,0,0,0,0
"37",34,14,3,0,45,4,0,0,0,0,0
"38",33,15,3,0,45,4,0,0,0,0,0
"39",32,16,3,0,45,4,0,0,0,0,0
"40",31,17,3,0,45,4,0,0,0,0,0
"41",40,7,4,0,45,4,0,0,0,0,0
"42",39,8,4,0,45,4,0,0,0,0,0
"43",38,9,4,0,45,4,0,0,0,0,0
"44",37,10,4,0,45,4,0,0,0,0,0
"45",36,11,4,0,45,4,0,0,0,0,0
"46",35,12,4,0,45,4,0,0,0,0,0
"47",34,13,4,0,45,4,0,0,0,0,0
"48",33,14,4,0,45,4,0,0,0,0,0
"49",32,15,4,0,45,4,0,0,0,0,0
"50",31,16,4,0,45,4,0,0,0,0,0
"51",40,6,5,0,45,4,0,0,0,0,0
"52",39,7,5,0,45,4,0,0,0,0,0
"53",38,8,5,0,45,4,0,0,0,0,0
"54",37,9,5,0,45,4,0,0,0,0,0
"55",36,10,5,0,45,4,0,0,0,0,0
"56",35,11,5,0,45,4,0,0,0,0,0
"57",34,12,5,0,45,4,0,0,0,0,0
"58",33,13,5,0,45,4,0,0,0,0,0
"59",32,14,5,0,45,4,0,0,0,0,0
"60",31,15,5,0,45,4,0,0,0,0,0
"61",40,5,6,0,45,4,0,0,0,0,0
"62",39,6,6,0,45,4,0,0,0,0,0
"63",38,7,6,0,45,4,0,0,0,0,0
"64",37,8,6,0,45,4,0,0,0,0,0
"65",36,9,6,0,45,4,0,0,0,0,0
"66",35,10,6,0,45,4,0,0,0,0,0
"67",34,11,6,0,45,4,0,0,0,0,0
"68",33,12,6,0,45,4,0,0,0,0,0
"69",32,13,6,0,45,4,0,0,0,0,0
"70",31,14,6,0,45,4,0,0,0,0,0
"71",40,4,7,0,45,4,0,0,0,0,0
"72",39,5,7,0,45,4,0,0,0,0,0
"73",38,6,7,0,45,4,0,0,0,0,0
"74",37,7,7,0,45,4,0,0,0,0,0
"75",36,8,7,0,45,4,0,0,0,0,0
"76",35,9,7,0,45,4,0,0,0,0,0
"77",34,10,7,0,45,4,0,0,0,0,0
"78",33,11,7,0,45,4,0,0,0,0,0
"79",32,12,7,0,45,4,0,0,0,0,0
"80",31,13,7,0,45,4,0,0,0,0,0
"81",40,3,8,0,45,4,0,0,0,0,0
"82",39,4,8,0,45,4,0,0,0,0,0
"83",38,5,8,0,45,4,0,0,0,0,0
"84",37,6,8,0,45,4,0,0,0,0,0
"85",36,7,8,0,45,4,0,0,0,0,0
"86",35,8,8,0,45,4,0,0,0,0,0
"87",34,9,8,0,45,4,0,0,0,0,0
"88",33,10,8,0,45,4,0,0,0,0,0
"89",32,11,8,0,45,4,0,0,0,0,0
"90",31,12,8,0,45,4,0,0,0,0,0
"91",40,2,9,0,45,4,0,0,0,0,0
"92",39,3,9,0,45,4,0,0,0,0,0
"93",38,4,9,0,45,4,0,0,0,0,0
"94",37,5,9,0,45,4,0,0,0,0,0
"95",36,6,9,0,45,4,0,0,0,0,0
"96",35,7,9,0,45,4,0,0,0,0,0
"97",34,8,9,0,45,4,0,0,0,0,0
"98",33,9,9,0,45,4,0,0,0,0,0
"99",32,10,9,0,45,4,0,0,0,0,0
"100",31,11,9,0,45,4,0,0,0,0,0
"101",40,1,10,0,45,4,0,0,0,0,0
"102",39,2,10,0,45,4,0,0,0,0,0
"103",38,3,10,0,45,4,0,0,0,0,0
