,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,enthalpy
0,24.0,47.5,0.0,0.0,0.0,0.0,0,0.5,0.0,5.0,23.0,-26.13
1,23.5,41.5,0.0,0.0,0.0,6.0,0,0.0,5.0,0.0,24.0,-21.35
2,26.0,35.0,13.0,0.0,0.0,2.0,0,0.0,0.0,0.0,24.0,-13.92
3,22.795,42.195,5.82,0.0,0.0,0.0,0,0.0,3.0,6.79,19.4,-19.09
4,25.0,43.0,7.000000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,25.0,-19.8
5,20.0,40.0,8.0,0.0,0.0,0.0,0,0.0,0.0,8.0,24.0,-25.42
6,20.0,35.0,13.0,0.0,0.0,0.0,0,0.0,0.0,8.0,24.0,-26.42
7,50.0,48.5,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,-30.61
8,20.0,36.0,12.0,0.0,0.0,0.0,0,0.0,0.0,8.0,24.0,-27.56
9,26.55,36.449999999999996,8.1,0.0,0.0,0.0,0,0.0,10.0,0.0,18.9,-14.09
10,20.0,37.0,13.0,0.0,0.0,0.0,0,0.0,0.0,5.0,25.0,-15.2
11,21.0,37.0,12.0,0.0,0.0,0.0,0,0.0,0.0,7.000000000000001,23.0,-19.0
12,20.0,37.0,11.0,0.0,0.0,0.0,0,0.0,0.0,8.0,24.0,-29.28
13,30.9,48.5,0.0,0.0,0.0,0.0,0,0.0,2.04,2.46,16.1,-28.29
14,30.9,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6,20.0,-30.08
15,30.9,48.5,0.0,0.0,0.0,0.0,0,0.0,3.4000000000000004,3.7000000000000006,13.5,-21.35
16,30.9,48.5,0.0,0.0,0.0,0.0,0,0.0,0.9520000000000001,1.468,18.18,-24.24
17,49.0,48.705,0.0,0.20249999999999999,0.7425,0.0,0,0.0,1.35,0.0,0.0,-22.83
18,48.5,48.152499999999996,0.0,0.0,1.105,0.0,0,0.4875,1.755,0.0,0.0,-17.57
19,48.5,48.925000000000004,0.0,0.0,0.8500000000000001,0.0,0,0.375,1.35,0.0,0.0,-16.21
20,48.5,49.955,0.0,0.0,0.51,0.0,0,0.22499999999999998,0.8099999999999999,0.0,0.0,-12.35
21,49.0,43.35,0.0,0.675,2.475,0.0,0,0.0,4.5,0.0,0.0,-15.67
22,48.5,43.775,0.0,0.0,2.55,0.0,0,1.125,4.05,0.0,0.0,-4.234
23,49.55,50.449999999999996,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-15.43
24,49.0,44.879999999999995,0.0,0.54,1.9800000000000002,0.0,0,0.0,3.6000000000000005,0.0,0.0,-17.01
25,48.5,50.985,0.0,0.0,0.16999999999999998,0.0,0,0.075,0.27,0.0,0.0,-9.267999999999999
26,49.0,50.49,0.0,0.045,0.165,0.0,0,0.0,0.3,0.0,0.0,-12.61
27,49.0,45.9,0.0,0.44999999999999996,1.6500000000000001,0.0,0,0.0,3.0,0.0,0.0,-18.7
28,48.5,44.805,0.0,0.0,2.21,0.0,0,0.975,3.51,0.0,0.0,-7.022
29,49.62,50.38,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-23.53
